date,worker_id,worker_name,status,checkin_time,checkout_time,work_hours,is_late,overtime_hours,nfc_scan_location
2025-04-10,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,office
2025-04-11,W001,Rajesh Kumar,present,07:14,17:25,10.2,False,1.2,office
2025-04-12,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-14,W001,Rajesh Kumar,present,07:09,17:27,10.3,False,1.3,main_gate
2025-04-15,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-16,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-17,W001,Rajesh Kumar,present,07:00,19:32,12.5,False,3.5,office
2025-04-18,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,greenhouse_a
2025-04-19,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-21,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-22,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-23,W001,Rajesh Kumar,present,07:23,17:00,9.6,False,0.6,greenhouse_a
2025-04-24,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-25,W001,Rajesh Kumar,present,07:00,17:24,10.4,False,1.4,main_gate
2025-04-26,W001,Rajesh Kumar,present,11:33,17:00,5.5,True,0.0,main_gate
2025-04-28,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-04-29,W001,Rajesh Kumar,present,07:00,17:15,10.2,False,1.2,main_gate
2025-04-30,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-01,W001,Rajesh Kumar,present,07:01,17:00,10.0,False,1.0,main_gate
2025-05-02,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,main_gate
2025-05-03,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,greenhouse_a
2025-05-05,W001,Rajesh Kumar,present,07:20,17:00,9.7,False,0.7,greenhouse_a
2025-05-06,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,main_gate
2025-05-07,W001,Rajesh Kumar,present,07:01,17:00,10.0,False,1.0,main_gate
2025-05-08,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-09,W001,Rajesh Kumar,present,07:00,17:29,10.5,False,1.5,main_gate
2025-05-10,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-12,W001,Rajesh Kumar,present,09:36,17:00,7.4,True,0.0,main_gate
2025-05-13,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,office
2025-05-14,W001,Rajesh Kumar,present,07:00,17:31,10.5,False,1.5,main_gate
2025-05-15,W001,Rajesh Kumar,present,07:00,18:14,11.2,False,2.2,greenhouse_a
2025-05-16,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-17,W001,Rajesh Kumar,present,07:02,17:08,10.1,False,1.1,greenhouse_a
2025-05-19,W001,Rajesh Kumar,present,07:00,17:20,10.3,False,1.3,main_gate
2025-05-20,W001,Rajesh Kumar,present,07:00,17:10,10.2,False,1.2,greenhouse_a
2025-05-21,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,office
2025-05-22,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,main_gate
2025-05-23,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-24,W001,Rajesh Kumar,present,07:16,17:00,9.7,False,0.7,office
2025-05-26,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-27,W001,Rajesh Kumar,present,07:12,17:02,9.8,False,0.8,greenhouse_a
2025-05-28,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-29,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-30,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-05-31,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-02,W001,Rajesh Kumar,present,07:25,17:00,9.6,False,0.6,office
2025-06-03,W001,Rajesh Kumar,present,07:03,18:55,11.9,False,2.9,office
2025-06-04,W001,Rajesh Kumar,present,07:21,17:00,9.7,False,0.7,main_gate
2025-06-05,W001,Rajesh Kumar,present,07:05,17:00,9.9,False,0.9,main_gate
2025-06-06,W001,Rajesh Kumar,present,07:10,17:00,9.8,False,0.8,greenhouse_a
2025-06-07,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-09,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-10,W001,Rajesh Kumar,present,07:00,17:07,10.1,False,1.1,office
2025-06-11,W001,Rajesh Kumar,present,07:15,17:00,9.8,False,0.8,greenhouse_a
2025-06-12,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-13,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,office
2025-06-14,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-16,W001,Rajesh Kumar,present,07:08,17:00,9.9,False,0.9,greenhouse_a
2025-06-17,W001,Rajesh Kumar,present,08:30,17:15,8.8,True,0.0,greenhouse_a
2025-06-18,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-19,W001,Rajesh Kumar,present,07:00,18:50,11.8,False,2.8,greenhouse_a
2025-06-20,W001,Rajesh Kumar,present,07:00,17:05,10.1,False,1.1,greenhouse_a
2025-06-21,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-23,W001,Rajesh Kumar,present,07:11,17:06,9.9,False,0.9,office
2025-06-24,W001,Rajesh Kumar,absent,,,0.0,False,0.0,
2025-06-25,W001,Rajesh Kumar,present,07:00,17:00,10.0,False,1.0,main_gate
2025-06-26,W001,Rajesh Kumar,present,10:46,17:02,6.3,True,0.0,main_gate
2025-06-27,W001,Rajesh Kumar,present,08:29,17:14,8.8,True,0.0,greenhouse_a
