graft_id,date,worker_id,worker_name,method,rootstock_variety,rootstock_age_days,scion_variety,scion_freshness_days,temperature_at_graft,humidity_at_graft,time_of_day,callus_formation_pct,cambium_alignment_pct,success,success_probability,failure_reason,zone_id
GR-2025-00001,2025-04-10,W004,Sunita Devi,bark_grafting,Pusa Kanchan,287,Franquette,3,18.1,69.1,afternoon,13.0,30.5,False,0.868,cambium_misalignment,ZONE-F
GR-2025-00002,2025-04-10,W013,Suresh Bhatt,side_veneer,Local Variety,134,Franquette,3,21.4,53.6,morning,40.6,34.3,False,0.844,desiccation,ZONE-B
GR-2025-00003,2025-04-10,W005,Amit Singh,whip_and_tongue,Chandler,251,Franquette,1,19.1,55.5,afternoon,96.6,87.0,True,0.834,,ZONE-E
GR-2025-00004,2025-04-10,W001,Rajesh Kumar,bud_grafting,Chandler,190,Chandler,6,20.7,61.4,evening,81.7,76.8,True,0.863,,ZONE-E
GR-2025-00005,2025-04-10,W006,Kavita Devi,bark_grafting,Kashmiri Walnut,201,Pusa Kanchan,4,30.6,60.6,evening,68.8,89.4,True,0.764,,ZONE-A
GR-2025-00006,2025-04-10,W002,Priya Sharma,side_veneer,Pusa Kanchan,264,Chandler,3,25.1,78.1,afternoon,94.1,74.4,True,0.913,,ZONE-E
GR-2025-00007,2025-04-10,W010,Meena Kumari,side_veneer,Franquette,145,Local Variety,6,20.0,73.4,morning,10.3,29.3,False,0.78,cambium_misalignment,ZONE-C
GR-2025-00008,2025-04-10,W013,Suresh Bhatt,side_veneer,Pusa Kanchan,258,Local Variety,0,15.6,58.7,morning,22.0,57.2,False,0.828,infection,ZONE-C
GR-2025-00009,2025-04-10,W002,Priya Sharma,bud_grafting,Chandler,216,Pusa Kanchan,2,26.9,83.4,afternoon,85.6,89.7,True,0.817,,ZONE-E
GR-2025-00010,2025-04-10,W004,Sunita Devi,whip_and_tongue,Kashmiri Walnut,183,Chandler,5,23.6,63.9,afternoon,97.5,80.9,True,0.842,,ZONE-A
GR-2025-00011,2025-04-11,W007,Vikram Thakur,bark_grafting,Local Variety,246,Kashmiri Walnut,5,22.4,60.8,morning,45.9,66.5,False,0.879,rootstock_rejection,ZONE-D
GR-2025-00012,2025-04-11,W013,Suresh Bhatt,cleft_grafting,Local Variety,251,Pusa Kanchan,6,22.1,68.7,morning,82.1,98.3,True,0.856,,ZONE-F
GR-2025-00013,2025-04-11,W012,Anita Rana,cleft_grafting,Franquette,145,Chandler,6,28.3,71.0,afternoon,81.6,96.9,True,0.851,,ZONE-D
GR-2025-00014,2025-04-11,W012,Anita Rana,side_veneer,Chandler,161,Kashmiri Walnut,4,20.4,64.0,afternoon,64.9,85.2,True,0.891,,ZONE-F
GR-2025-00015,2025-04-11,W010,Meena Kumari,side_veneer,Pusa Kanchan,142,Kashmiri Walnut,2,33.0,67.8,evening,21.5,38.6,False,0.768,rootstock_rejection,ZONE-D
GR-2025-00016,2025-04-11,W013,Suresh Bhatt,side_veneer,Pusa Kanchan,204,Kashmiri Walnut,1,21.8,65.0,morning,81.5,99.9,True,0.883,,ZONE-B
GR-2025-00017,2025-04-11,W001,Rajesh Kumar,side_veneer,Pusa Kanchan,243,Chandler,1,23.6,71.2,morning,99.2,100.0,True,0.818,,ZONE-B
GR-2025-00018,2025-04-11,W003,Mohammad Iqbal,bud_grafting,Chandler,122,Chandler,5,19.8,82.1,evening,66.6,85.0,True,0.856,,ZONE-B
GR-2025-00019,2025-04-11,W002,Priya Sharma,side_veneer,Kashmiri Walnut,288,Kashmiri Walnut,3,24.1,89.4,evening,63.7,84.5,True,0.913,,ZONE-D
GR-2025-00020,2025-04-11,W003,Mohammad Iqbal,bark_grafting,Franquette,169,Kashmiri Walnut,4,22.8,45.4,morning,73.8,92.2,True,0.88,,ZONE-C
GR-2025-00021,2025-04-11,W009,Ravi Shankar,whip_and_tongue,Local Variety,243,Local Variety,6,22.5,71.6,afternoon,87.9,85.0,True,0.866,,ZONE-B
GR-2025-00022,2025-04-11,W002,Priya Sharma,bark_grafting,Local Variety,177,Local Variety,6,23.8,46.7,afternoon,91.4,92.4,True,0.836,,ZONE-A
GR-2025-00023,2025-04-11,W009,Ravi Shankar,whip_and_tongue,Local Variety,238,Franquette,2,23.0,75.1,morning,34.3,39.2,False,0.892,rootstock_rejection,ZONE-F
GR-2025-00024,2025-04-11,W007,Vikram Thakur,bark_grafting,Franquette,232,Pusa Kanchan,5,20.2,48.0,morning,55.3,63.6,False,0.887,rootstock_rejection,ZONE-D
GR-2025-00025,2025-04-11,W002,Priya Sharma,side_veneer,Pusa Kanchan,228,Local Variety,2,25.3,52.5,afternoon,90.7,89.8,True,0.97,,ZONE-B
GR-2025-00026,2025-04-11,W002,Priya Sharma,bark_grafting,Franquette,263,Pusa Kanchan,3,31.7,52.2,morning,80.3,73.4,True,0.812,,ZONE-E
GR-2025-00027,2025-04-11,W010,Meena Kumari,bud_grafting,Kashmiri Walnut,288,Pusa Kanchan,1,29.0,78.3,morning,98.8,74.0,True,0.82,,ZONE-D
GR-2025-00028,2025-04-11,W005,Amit Singh,bud_grafting,Franquette,270,Pusa Kanchan,1,17.4,59.2,afternoon,87.7,73.1,True,0.839,,ZONE-C
GR-2025-00029,2025-04-11,W012,Anita Rana,bud_grafting,Pusa Kanchan,197,Local Variety,4,24.7,68.7,morning,70.8,74.6,True,0.942,,ZONE-D
GR-2025-00030,2025-04-12,W014,Geeta Rawat,side_veneer,Franquette,208,Kashmiri Walnut,3,26.9,72.7,morning,84.9,89.2,True,0.954,,ZONE-F
GR-2025-00031,2025-04-12,W005,Amit Singh,whip_and_tongue,Local Variety,174,Kashmiri Walnut,1,20.6,65.3,afternoon,92.5,91.7,True,0.864,,ZONE-D
GR-2025-00032,2025-04-12,W015,Abdul Rashid,whip_and_tongue,Kashmiri Walnut,265,Local Variety,1,20.7,56.0,morning,61.6,71.0,True,0.901,,ZONE-D
GR-2025-00033,2025-04-12,W009,Ravi Shankar,whip_and_tongue,Kashmiri Walnut,263,Kashmiri Walnut,0,29.0,80.3,morning,87.0,78.0,True,0.841,,ZONE-C
GR-2025-00034,2025-04-12,W007,Vikram Thakur,bud_grafting,Local Variety,247,Kashmiri Walnut,3,23.9,70.6,morning,70.8,78.8,True,0.844,,ZONE-B
GR-2025-00035,2025-04-12,W002,Priya Sharma,side_veneer,Chandler,254,Chandler,6,25.6,61.2,morning,61.9,96.0,True,0.922,,ZONE-A
GR-2025-00036,2025-04-12,W004,Sunita Devi,side_veneer,Local Variety,162,Franquette,0,20.1,80.7,morning,68.7,71.8,True,0.875,,ZONE-B
GR-2025-00037,2025-04-12,W004,Sunita Devi,bud_grafting,Chandler,234,Chandler,4,19.0,52.6,morning,95.3,76.2,True,0.831,,ZONE-F
GR-2025-00038,2025-04-12,W013,Suresh Bhatt,whip_and_tongue,Pusa Kanchan,146,Local Variety,3,24.0,77.8,morning,85.8,99.9,True,0.879,,ZONE-D
GR-2025-00039,2025-04-12,W002,Priya Sharma,side_veneer,Franquette,295,Kashmiri Walnut,0,29.2,79.9,afternoon,62.1,89.6,True,0.897,,ZONE-B
GR-2025-00040,2025-04-14,W001,Rajesh Kumar,cleft_grafting,Chandler,155,Local Variety,0,24.7,67.5,morning,88.5,82.6,True,0.9,,ZONE-C
GR-2025-00041,2025-04-14,W011,Deepak Negi,bark_grafting,Local Variety,130,Local Variety,4,18.0,72.9,afternoon,65.6,88.4,True,0.903,,ZONE-D
GR-2025-00042,2025-04-14,W002,Priya Sharma,side_veneer,Chandler,228,Local Variety,2,29.9,86.2,morning,70.6,72.4,True,0.918,,ZONE-B
GR-2025-00043,2025-04-14,W007,Vikram Thakur,cleft_grafting,Kashmiri Walnut,258,Pusa Kanchan,4,29.2,70.2,morning,62.5,80.8,True,0.867,,ZONE-B
GR-2025-00044,2025-04-14,W012,Anita Rana,bud_grafting,Local Variety,234,Franquette,1,26.9,68.5,afternoon,90.5,75.8,True,0.955,,ZONE-B
GR-2025-00045,2025-04-14,W007,Vikram Thakur,whip_and_tongue,Franquette,170,Kashmiri Walnut,1,21.3,74.5,afternoon,76.8,100.0,True,0.937,,ZONE-A
GR-2025-00046,2025-04-14,W011,Deepak Negi,bark_grafting,Local Variety,237,Franquette,4,21.2,55.1,morning,60.2,83.7,True,0.933,,ZONE-D
GR-2025-00047,2025-04-14,W014,Geeta Rawat,whip_and_tongue,Pusa Kanchan,194,Kashmiri Walnut,2,22.9,75.4,evening,80.6,94.2,True,0.897,,ZONE-C
GR-2025-00048,2025-04-14,W008,Fatima Begum,side_veneer,Kashmiri Walnut,168,Pusa Kanchan,4,13.2,59.1,morning,88.3,70.5,True,0.91,,ZONE-B
GR-2025-00049,2025-04-14,W012,Anita Rana,whip_and_tongue,Franquette,279,Franquette,4,19.7,77.9,morning,33.6,69.5,False,0.788,infection,ZONE-A
GR-2025-00050,2025-04-14,W011,Deepak Negi,bark_grafting,Pusa Kanchan,199,Chandler,2,21.1,72.8,morning,90.3,76.1,True,0.942,,ZONE-A
GR-2025-00051,2025-04-14,W014,Geeta Rawat,cleft_grafting,Franquette,132,Pusa Kanchan,1,22.4,76.1,evening,77.4,72.1,True,0.846,,ZONE-C
GR-2025-00052,2025-04-14,W014,Geeta Rawat,whip_and_tongue,Franquette,261,Pusa Kanchan,0,15.5,59.4,evening,57.2,67.7,False,0.869,poor_callus_formation,ZONE-F
GR-2025-00053,2025-04-14,W008,Fatima Begum,side_veneer,Pusa Kanchan,211,Franquette,2,27.5,61.9,evening,37.4,28.2,False,0.949,infection,ZONE-A
GR-2025-00054,2025-04-14,W014,Geeta Rawat,bark_grafting,Kashmiri Walnut,238,Pusa Kanchan,6,13.8,86.8,afternoon,66.4,70.9,True,0.83,,ZONE-A
GR-2025-00055,2025-04-14,W001,Rajesh Kumar,whip_and_tongue,Chandler,274,Chandler,5,17.5,74.8,afternoon,85.6,84.4,True,0.829,,ZONE-E
GR-2025-00056,2025-04-14,W011,Deepak Negi,bud_grafting,Pusa Kanchan,221,Kashmiri Walnut,5,33.1,66.3,afternoon,80.2,74.5,True,0.861,,ZONE-F
GR-2025-00057,2025-04-15,W014,Geeta Rawat,cleft_grafting,Local Variety,194,Local Variety,5,25.8,65.9,afternoon,94.2,94.6,True,0.881,,ZONE-F
GR-2025-00058,2025-04-15,W009,Ravi Shankar,cleft_grafting,Chandler,230,Chandler,2,30.9,71.7,morning,28.0,51.3,False,0.851,infection,ZONE-B
GR-2025-00059,2025-04-15,W009,Ravi Shankar,bark_grafting,Chandler,289,Kashmiri Walnut,0,29.6,72.9,morning,46.4,37.0,False,0.831,rootstock_rejection,ZONE-D
GR-2025-00060,2025-04-15,W003,Mohammad Iqbal,bud_grafting,Franquette,154,Chandler,4,22.2,55.2,morning,60.4,79.4,True,0.913,,ZONE-E
GR-2025-00061,2025-04-15,W001,Rajesh Kumar,side_veneer,Pusa Kanchan,124,Pusa Kanchan,4,26.8,58.0,morning,80.5,88.7,True,0.805,,ZONE-D
GR-2025-00062,2025-04-15,W012,Anita Rana,cleft_grafting,Pusa Kanchan,234,Franquette,6,22.9,71.1,afternoon,99.9,80.5,True,0.911,,ZONE-C
GR-2025-00063,2025-04-15,W007,Vikram Thakur,cleft_grafting,Pusa Kanchan,207,Franquette,0,19.2,72.3,afternoon,63.0,99.3,True,0.945,,ZONE-C
GR-2025-00064,2025-04-15,W011,Deepak Negi,side_veneer,Pusa Kanchan,249,Pusa Kanchan,0,17.0,58.8,evening,37.7,40.2,False,0.798,poor_callus_formation,ZONE-D
GR-2025-00065,2025-04-15,W014,Geeta Rawat,whip_and_tongue,Franquette,241,Local Variety,4,21.3,72.0,morning,75.1,82.2,True,0.881,,ZONE-D
GR-2025-00066,2025-04-15,W014,Geeta Rawat,cleft_grafting,Chandler,261,Chandler,1,27.9,62.2,evening,71.0,81.3,True,0.869,,ZONE-B
GR-2025-00067,2025-04-15,W008,Fatima Begum,bud_grafting,Pusa Kanchan,245,Pusa Kanchan,1,20.0,59.2,afternoon,72.2,86.2,True,0.917,,ZONE-E
GR-2025-00068,2025-04-15,W012,Anita Rana,bud_grafting,Kashmiri Walnut,216,Local Variety,1,23.9,70.4,afternoon,96.6,90.4,True,0.955,,ZONE-D
GR-2025-00069,2025-04-15,W007,Vikram Thakur,side_veneer,Kashmiri Walnut,236,Local Variety,3,34.1,72.5,morning,61.8,96.9,True,0.809,,ZONE-B
GR-2025-00070,2025-04-15,W009,Ravi Shankar,bark_grafting,Chandler,280,Local Variety,5,26.5,47.3,afternoon,72.3,85.2,True,0.816,,ZONE-C
GR-2025-00071,2025-04-15,W015,Abdul Rashid,bark_grafting,Local Variety,257,Local Variety,5,5.4,65.4,afternoon,75.2,87.2,True,0.88,,ZONE-B
GR-2025-00072,2025-04-15,W014,Geeta Rawat,side_veneer,Kashmiri Walnut,125,Chandler,5,26.6,51.9,morning,71.4,75.8,True,0.915,,ZONE-A
GR-2025-00073,2025-04-15,W007,Vikram Thakur,whip_and_tongue,Local Variety,128,Pusa Kanchan,3,18.0,59.2,evening,91.3,84.7,True,0.868,,ZONE-A
GR-2025-00074,2025-04-15,W005,Amit Singh,bud_grafting,Chandler,236,Local Variety,0,26.0,59.8,afternoon,60.4,72.9,True,0.904,,ZONE-B
GR-2025-00075,2025-04-15,W001,Rajesh Kumar,side_veneer,Kashmiri Walnut,286,Local Variety,0,30.7,62.8,morning,98.4,71.0,True,0.793,,ZONE-F
GR-2025-00076,2025-04-16,W005,Amit Singh,cleft_grafting,Franquette,167,Kashmiri Walnut,3,24.0,69.9,morning,99.3,91.4,True,0.838,,ZONE-B
GR-2025-00077,2025-04-16,W011,Deepak Negi,bark_grafting,Chandler,167,Local Variety,5,26.8,62.1,morning,98.7,91.7,True,0.929,,ZONE-C
GR-2025-00078,2025-04-16,W007,Vikram Thakur,cleft_grafting,Local Variety,286,Franquette,3,23.3,95.4,morning,74.8,90.9,True,0.879,,ZONE-D
GR-2025-00079,2025-04-16,W006,Kavita Devi,bud_grafting,Chandler,132,Franquette,2,18.1,66.8,morning,71.4,86.0,True,0.832,,ZONE-A
GR-2025-00080,2025-04-16,W008,Fatima Begum,cleft_grafting,Local Variety,275,Local Variety,5,37.5,57.7,afternoon,76.3,98.6,True,0.839,,ZONE-F
GR-2025-00081,2025-04-16,W002,Priya Sharma,whip_and_tongue,Local Variety,245,Local Variety,4,17.3,56.5,morning,61.8,73.5,True,0.872,,ZONE-F
GR-2025-00082,2025-04-16,W013,Suresh Bhatt,bud_grafting,Kashmiri Walnut,262,Franquette,0,26.1,59.4,morning,97.8,95.0,True,0.901,,ZONE-E
GR-2025-00083,2025-04-16,W010,Meena Kumari,side_veneer,Local Variety,168,Pusa Kanchan,0,21.7,82.4,morning,37.6,58.5,False,0.814,cambium_misalignment,ZONE-D
GR-2025-00084,2025-04-16,W008,Fatima Begum,bud_grafting,Chandler,199,Franquette,3,27.1,65.2,afternoon,11.5,51.9,False,0.938,infection,ZONE-F
GR-2025-00085,2025-04-16,W011,Deepak Negi,side_veneer,Pusa Kanchan,226,Chandler,4,27.1,70.3,afternoon,92.0,78.3,True,0.84,,ZONE-A
GR-2025-00086,2025-04-16,W011,Deepak Negi,cleft_grafting,Kashmiri Walnut,214,Chandler,4,17.0,69.5,afternoon,72.9,78.6,True,0.826,,ZONE-A
GR-2025-00087,2025-04-16,W002,Priya Sharma,whip_and_tongue,Franquette,234,Franquette,6,31.5,70.5,evening,61.5,74.1,True,0.893,,ZONE-E
GR-2025-00088,2025-04-16,W001,Rajesh Kumar,whip_and_tongue,Kashmiri Walnut,156,Franquette,4,26.3,67.4,evening,84.6,94.1,True,0.894,,ZONE-E
GR-2025-00089,2025-04-16,W006,Kavita Devi,cleft_grafting,Local Variety,186,Pusa Kanchan,2,16.9,54.4,morning,77.0,80.9,True,0.83,,ZONE-D
GR-2025-00090,2025-04-16,W011,Deepak Negi,cleft_grafting,Pusa Kanchan,226,Franquette,4,13.5,71.8,afternoon,68.1,92.4,True,0.826,,ZONE-D
GR-2025-00091,2025-04-16,W011,Deepak Negi,bark_grafting,Kashmiri Walnut,239,Franquette,6,30.6,70.7,morning,98.6,75.0,True,0.894,,ZONE-D
GR-2025-00092,2025-04-16,W015,Abdul Rashid,bud_grafting,Kashmiri Walnut,277,Kashmiri Walnut,2,22.1,47.5,morning,61.0,99.2,True,0.809,,ZONE-F
GR-2025-00093,2025-04-17,W006,Kavita Devi,bud_grafting,Franquette,286,Chandler,0,33.2,79.6,evening,96.4,92.8,True,0.789,,ZONE-F
GR-2025-00094,2025-04-17,W010,Meena Kumari,bark_grafting,Chandler,179,Chandler,1,22.2,70.0,morning,96.2,92.4,True,0.913,,ZONE-B
GR-2025-00095,2025-04-17,W006,Kavita Devi,whip_and_tongue,Local Variety,154,Pusa Kanchan,3,29.3,55.4,evening,88.6,78.1,True,0.894,,ZONE-F
GR-2025-00096,2025-04-17,W003,Mohammad Iqbal,whip_and_tongue,Pusa Kanchan,183,Local Variety,6,26.8,79.0,afternoon,54.4,58.3,False,0.867,cambium_misalignment,ZONE-A
GR-2025-00097,2025-04-17,W014,Geeta Rawat,bark_grafting,Pusa Kanchan,220,Chandler,3,16.8,69.3,morning,84.6,77.3,True,0.866,,ZONE-E
GR-2025-00098,2025-04-17,W014,Geeta Rawat,cleft_grafting,Local Variety,223,Franquette,6,15.8,68.9,morning,86.1,71.2,True,0.846,,ZONE-A
GR-2025-00099,2025-04-17,W006,Kavita Devi,cleft_grafting,Chandler,268,Pusa Kanchan,3,20.4,78.0,afternoon,16.9,37.7,False,0.803,infection,ZONE-C
GR-2025-00100,2025-04-17,W007,Vikram Thakur,cleft_grafting,Kashmiri Walnut,149,Pusa Kanchan,4,23.1,82.2,afternoon,80.5,83.7,True,0.875,,ZONE-F
GR-2025-00101,2025-04-17,W008,Fatima Begum,cleft_grafting,Local Variety,299,Franquette,3,28.2,47.3,morning,69.3,79.6,True,0.826,,ZONE-C
GR-2025-00102,2025-04-17,W011,Deepak Negi,cleft_grafting,Kashmiri Walnut,229,Local Variety,1,22.0,50.9,morning,86.5,74.5,True,0.869,,ZONE-D
GR-2025-00103,2025-04-17,W006,Kavita Devi,whip_and_tongue,Franquette,134,Local Variety,5,29.5,68.1,morning,95.4,98.2,True,0.855,,ZONE-B
GR-2025-00104,2025-04-17,W015,Abdul Rashid,cleft_grafting,Pusa Kanchan,298,Franquette,5,20.4,66.6,evening,79.9,73.9,True,0.899,,ZONE-C
GR-2025-00105,2025-04-17,W014,Geeta Rawat,cleft_grafting,Pusa Kanchan,283,Local Variety,5,28.3,55.8,afternoon,73.0,89.0,True,0.821,,ZONE-E
GR-2025-00106,2025-04-17,W007,Vikram Thakur,whip_and_tongue,Pusa Kanchan,226,Kashmiri Walnut,1,24.9,59.1,afternoon,95.3,91.9,True,0.937,,ZONE-A
GR-2025-00107,2025-04-18,W002,Priya Sharma,side_veneer,Local Variety,154,Pusa Kanchan,4,20.9,68.4,morning,64.2,74.3,True,0.961,,ZONE-A
GR-2025-00108,2025-04-18,W003,Mohammad Iqbal,bud_grafting,Chandler,186,Kashmiri Walnut,3,16.4,61.9,morning,89.8,74.6,True,0.887,,ZONE-C
