task_id,date,worker_id,worker_name,task_type,skill_level_required,zone_id,estimated_hours,actual_hours,status,quality_score,errors_count,rework_needed
T000001,2025-04-10,W001,Rajesh Kumar,Grafting - Bud,intermediate,ZONE-B,0.4,0.27,completed,85.6,0,False
T000002,2025-04-10,W001,Rajesh Kumar,Soil Preparation,basic,ZONE-D,3.0,3.16,completed,65.4,0,False
T000003,2025-04-10,W002,Priya Sharma,Grafting - Cleft,expert,ZONE-F,0.6,0.67,completed,90.0,0,False
T000004,2025-04-10,W002,Priya Sharma,Shade Net Management,basic,ZONE-C,1.0,1.23,completed,85.0,0,False
T000005,2025-04-10,W002,Priya Sharma,Packing & Dispatch,basic,ZONE-C,2.0,2.79,completed,77.4,1,False
T000006,2025-04-10,W002,Priya Sharma,Grafting - Cleft,expert,ZONE-F,0.6,0.32,in_progress,0.0,0,False
T000007,2025-04-10,W002,Priya Sharma,Fertilizer Application,basic,ZONE-D,2.0,1.78,completed,85.1,0,False
T000008,2025-04-10,W003,Mohammad Iqbal,Pruning,intermediate,ZONE-B,1.0,1.26,completed,75.3,0,False
T000009,2025-04-10,W003,Mohammad Iqbal,Grafting - Whip and Tongue,expert,ZONE-D,0.5,0.39,completed,72.2,0,False
T000010,2025-04-10,W003,Mohammad Iqbal,Shade Net Management,basic,ZONE-E,1.0,1.2,completed,100.0,0,False
T000011,2025-04-10,W003,Mohammad Iqbal,Equipment Maintenance,intermediate,ZONE-E,1.5,2.15,completed,88.2,0,False
T000012,2025-04-10,W003,Mohammad Iqbal,Growth Measurement,intermediate,ZONE-B,2.0,2.21,completed,86.7,0,False
T000013,2025-04-10,W004,Sunita Devi,Shade Net Management,basic,ZONE-E,1.0,1.44,completed,81.6,0,False
T000014,2025-04-10,W004,Sunita Devi,Disease Treatment,intermediate,ZONE-A,1.0,1.03,completed,90.9,0,False
T000015,2025-04-10,W004,Sunita Devi,Packing & Dispatch,basic,ZONE-C,2.0,2.11,completed,84.7,0,False
T000016,2025-04-10,W004,Sunita Devi,Grafting - Whip and Tongue,expert,ZONE-A,0.5,0.36,completed,78.7,0,False
T000017,2025-04-10,W004,Sunita Devi,Fertilizer Application,basic,ZONE-C,2.0,2.21,completed,61.3,0,False
T000018,2025-04-10,W005,Amit Singh,Growth Measurement,intermediate,ZONE-F,2.0,2.33,completed,80.1,0,False
T000019,2025-04-10,W005,Amit Singh,Fertilizer Application,basic,ZONE-C,2.0,1.7,completed,78.1,0,False
T000020,2025-04-10,W006,Kavita Devi,Grafting - Whip and Tongue,expert,ZONE-F,0.5,0.21,completed,91.8,0,False
T000021,2025-04-10,W006,Kavita Devi,Pruning,intermediate,ZONE-B,1.0,1.07,completed,57.7,0,False
T000022,2025-04-10,W007,Vikram Thakur,Watering,basic,ZONE-A,1.5,2.19,completed,100.0,0,False
T000023,2025-04-10,W007,Vikram Thakur,Grafting - Whip and Tongue,expert,ZONE-A,0.5,0.55,completed,91.5,0,False
T000024,2025-04-10,W007,Vikram Thakur,Growth Measurement,intermediate,ZONE-B,2.0,2.74,completed,79.1,0,False
T000025,2025-04-10,W007,Vikram Thakur,Transplanting,basic,ZONE-C,1.5,1.32,completed,100.0,0,False
T000026,2025-04-10,W008,Fatima Begum,Shade Net Management,basic,ZONE-D,1.0,1.15,completed,75.3,0,False
T000027,2025-04-10,W008,Fatima Begum,Watering,basic,ZONE-C,1.5,1.43,completed,100.0,0,False
T000028,2025-04-10,W008,Fatima Begum,Grafting - Cleft,expert,ZONE-E,0.6,0.48,completed,90.5,0,False
T000029,2025-04-10,W008,Fatima Begum,Growth Measurement,intermediate,ZONE-C,2.0,2.04,completed,75.9,0,False
T000030,2025-04-10,W008,Fatima Begum,Equipment Maintenance,intermediate,ZONE-B,1.5,1.38,completed,83.0,1,False
T000031,2025-04-10,W009,Ravi Shankar,Disease Treatment,intermediate,ZONE-F,1.0,1.64,completed,100.0,0,False
T000032,2025-04-10,W009,Ravi Shankar,Grafting - Cleft,expert,ZONE-C,0.6,0.9,completed,86.1,0,False
T000033,2025-04-10,W009,Ravi Shankar,Fertilizer Application,basic,ZONE-D,2.0,1.93,completed,92.7,0,False
T000034,2025-04-10,W010,Meena Kumari,Growth Measurement,intermediate,ZONE-E,2.0,2.71,completed,74.8,0,False
T000035,2025-04-10,W010,Meena Kumari,Soil Preparation,basic,ZONE-A,3.0,3.63,completed,91.6,0,True
T000036,2025-04-10,W010,Meena Kumari,Growth Measurement,intermediate,ZONE-D,2.0,2.52,completed,90.8,0,False
T000037,2025-04-10,W010,Meena Kumari,Packing & Dispatch,basic,ZONE-F,2.0,2.13,completed,89.1,0,False
T000038,2025-04-10,W011,Deepak Negi,Fertilizer Application,basic,ZONE-E,2.0,1.92,completed,97.2,1,False
T000039,2025-04-10,W011,Deepak Negi,Fertilizer Application,basic,ZONE-B,2.0,2.35,completed,78.3,0,False
T000040,2025-04-10,W012,Anita Rana,Grafting - Bud,intermediate,ZONE-D,0.4,0.52,completed,78.7,0,False
T000041,2025-04-10,W012,Anita Rana,Disease Treatment,intermediate,ZONE-A,1.0,0.98,completed,94.7,0,False
T000042,2025-04-10,W012,Anita Rana,Transplanting,basic,ZONE-E,1.5,1.77,completed,76.2,0,False
T000043,2025-04-10,W012,Anita Rana,Disease Treatment,intermediate,ZONE-E,1.0,0.99,completed,72.9,0,False
T000044,2025-04-10,W013,Suresh Bhatt,Grafting - Bud,intermediate,ZONE-D,0.4,0.65,completed,95.5,0,False
T000045,2025-04-10,W013,Suresh Bhatt,Disease Treatment,intermediate,ZONE-E,1.0,1.29,completed,85.6,0,False
